Country,Total Count,Count 2023 First Half,Count 2023 Second Half,Count 2024 First Half,Latitude,Longitude
United States,174,7.0,35.0,97.0,39.7837304,-100.445882
China,34,1.0,3.0,27.0,35.0000663,104.999955
Germany,23,,8.0,11.0,51.1638175,10.4478313
Canada,22,1.0,1.0,19.0,61.0666922,-107.991707
United Kingdom,17,1.0,3.0,11.0,54.7023545,-3.2765753
Japan,15,,3.0,10.0,36.5748441,139.2394179
Italy,14,,2.0,8.0,42.6384261,12.674297
South Korea,11,,1.0,6.0,36.638392,127.6961188
Australia,9,,3.0,6.0,-24.7761086,134.755
Turkey,8,,3.0,4.0,38.9597594,34.9249653
Israel,8,,1.0,5.0,30.8124247,34.8594762
Switzerland,7,,1.0,6.0,46.7985624,8.2319736
India,7,1.0,1.0,3.0,22.3511148,78.6677428
Singapore,6,,2.0,3.0,1.357107,103.8194992
Taiwan,5,1.0,,4.0,23.5983227,120.83537694479215
Iran,5,,1.0,4.0,32.6475314,54.5643516
Spain,4,,1.0,2.0,39.3260685,-4.8379791
Austria,3,,,1.0,47.59397,14.12456
Brazil,3,,1.0,2.0,-10.3333333,-53.2
Denmark,3,1.0,2.0,,55.670249,10.3333283
Chile,2,,,1.0,-31.7613365,-71.3187697
France,2,,1.0,1.0,46.603354,1.8883335
Tunisia,2,,1.0,,36.8002068,10.1857757
Hong Kong,2,,1.0,1.0,22.2793278,114.1628131
Greece,2,1.0,,1.0,38.9953683,21.9877132
Cyprus,2,,1.0,1.0,34.9174159,32.889902651331866
Belgium,1,,,1.0,50.6402809,4.6667145
Croatia,1,,,1.0,45.3658443,15.6575209
Czech Republic,1,1.0,,,49.7439047,15.3381061
Ireland,1,,,,52.865196,-7.9794599
Hungary,1,,,1.0,47.1817585,19.5060937
Serbia,1,,,1.0,44.024322850000004,21.07657433209902
Saudi Arabia,1,,,,25.6242618,42.3528328
New Zealand,1,,,1.0,-41.5000831,172.8344077
Poland,1,,1.0,,52.215933,19.134422
Qatar,1,,,1.0,25.3336984,51.2295295
Portugal,1,,,1.0,39.6621648,-8.1353519
